client_number,building_number,inventory_code,floor,room,fa_code,location,material_category,material_description,homogeneous_area,acm_classification,asbestos_detected,asbestos_percent,fiber_types,friable,material_class,category_i_or_ii,analytical_method,original_quantity,current_quantity,quantity_unit,condition,accessibility,disturbance_potential,label_present,label_condition,response_action,provisional,record_status,notes
HLM-220,HLM-03,HLM03-002,1,Boiler room,FA-BH-BLR,Boiler #1 shell,Thermal System Insulation,Boiler insulation and lagging,HA-BL-01,confirmed_acm,yes,30,Amosite,friable,TSI,,PLM,180,180,SF,fair,mechanical_space,moderate,yes,good,Continue surveillance,no,active,Amosite. Do not disturb lagging bands.
HLM-220,HLM-03,HLM03-003,1,Boiler room,FA-BH-BLR,Breeching to stack,Thermal System Insulation,Breeching insulation,HA-BL-02,confirmed_acm,yes,25,Amosite,friable,TSI,,PLM,90,90,SF,good,mechanical_space,low,yes,good,Continue surveillance,no,active,
HLM-220,HLM-03,HLM03-004,1,Boiler room,FA-BH-BLR,Floor around boiler pads,Miscellaneous,"9×9 floor tile, red",HA-FT-03,confirmed_acm,yes,5,Chrysotile,non_friable,Miscellaneous,I,PLM,2100,2100,SF,fair,accessible,moderate,no,,Continue surveillance,no,active,Oil-stained near #2 feed pump. Still intact.
HLM-220,HLM-W1,HLMW1-001,2,Mezzanine offices,FA-W-MEZ,Office floors,Miscellaneous,"9×9 floor tile, brown",HA-FT-W,confirmed_acm,yes,3,Chrysotile,non_friable,Miscellaneous,I,PLM,4800,4800,SF,good,accessible,low,no,,Continue surveillance,no,active,
HLM-220,HLM-W1,HLMW1-002,Roof,Roof,,Low-slope built-up roof,Miscellaneous,Built-up roofing / flashing,HA-RF-W,assumed_acm,,,,non_friable,Miscellaneous,I,,22000,22000,SF,fair,accessible,low,no,,Continue surveillance,no,active,Assume ACM until sampled for the 2027 reroof.
HLM-220,HLM-W1,HLMW1-003,1,Loading dock,FA-W-DOCK,Dock sealant at overhead doors,Miscellaneous,Door-frame caulk,HA-CK-W,unknown,,,,non_friable,Miscellaneous,II,,64,64,LF,fair,accessible,low,no,,Further sampling,yes,active,Provisional. Sample before door replacement.
CCHA-15,CCHA-A,CCHAA-001,Basement,Resident laundry,FA-A-LAU,Laundry floor,Miscellaneous,"9×9 floor tile, gray",HA-FT-A,confirmed_acm,yes,4,Chrysotile,non_friable,Miscellaneous,I,PLM,1800,1800,SF,fair,accessible,moderate,no,,Continue surveillance,no,active,High foot traffic. Several cracked tiles at dryer line — still non-friable.
CCHA-15,CCHA-A,CCHAA-002,Basement,House mechanical,FA-A-BMECH,Domestic hot-water mains,Thermal System Insulation,Pipe insulation,HA-TSI-A,confirmed_acm,yes,40,Chrysotile,friable,TSI,,PLM,140,140,LF,good,mechanical_space,low,yes,good,Continue surveillance,no,active,
CCHA-15,CCHA-A,CCHAA-003,1–6,Corridors,FA-A-COR2,Corridor walls,Surfacing,Troweled plaster,HA-PL-A,assumed_acm,,,,,Surfacing,,,28000,28000,SF,good,accessible,low,no,,Continue surveillance,no,active,Assumed. Do not cut or chase walls without a survey.
CCHA-15,CCHA-A,CCHAA-004,2,Unit 214,FA-A-214,Kitchen floor,Miscellaneous,"9×9 floor tile, cream",HA-FT-U,confirmed_acm,yes,5,Chrysotile,non_friable,Miscellaneous,I,PLM,90,90,SF,good,accessible,low,no,,Continue surveillance,no,active,Typical unit kitchen. Same HA in other 2-bed units.
CCHA-15,CCHA-A,CCHAA-005,2,Unit 214,FA-A-214,Bathroom ceiling,Surfacing,Popcorn / textured ceiling,HA-SF-A,pacm,,,,friable,Surfacing,,,40,40,SF,fair,accessible,moderate,no,,Further sampling,yes,active,PACM until sampled. Do not scrape. Photograph only with resident approval.
CCHA-15,CCHA-B,CCHAB-001,5,Level 5 corridor,FA-B-COR5,Corridor floor,Miscellaneous,"9×9 floor tile, green",HA-FT-B,confirmed_acm,yes,4,Chrysotile,non_friable,Miscellaneous,I,PLM,2400,2400,SF,fair,accessible,moderate,no,,Remove,no,active,Scheduled for removal as part of 2026 rehab. Remain in place until abatement.
CCHA-15,CCHA-B,CCHAB-002,5,Unit 512,FA-B-512,Kitchen mastic after tile lift,Miscellaneous,Black mastic,HA-FT-B,confirmed_acm,yes,8,Chrysotile,non_friable,Miscellaneous,I,PLM,85,85,SF,damaged,accessible,high,no,,Remove,no,active,Tile already lifted by GC. Mastic exposed. Stop work until abatement.
CCHA-15,CCHA-B,CCHAB-003,6,Units 601–612,,Original unit flooring (removed 2025),Miscellaneous,"9×9 floor tile, green",HA-FT-B,removed,yes,4,Chrysotile,non_friable,Miscellaneous,I,PLM,1080,0,SF,removed,accessible,low,no,,No action,no,removed,"Abated November 2025. Quantity history must retain the original 1,080 SF."
